covariate_config,L,r,mean_MAE,mean_RMSE,std_MAE,std_RMSE,n_covariates
age_diff_mean_age_temp_same_sex_with_interaction,6,2,18.8045,25.5801,5.03,6.5357,5
age_diff_mean_age_temp_same_sex_with_interaction,6,1,18.8132,25.5852,5.0374,6.5564,5
age_diff_mean_age_temp_with_interaction,6,2,18.667,25.5958,4.8795,6.5253,4
age_diff_mean_age_temp_with_interaction,6,1,18.6797,25.6011,4.8827,6.5445,4
age_diff_same_sex,6,0,18.8029,25.6257,5.1222,6.608,2
age_diff_mean_age_temp_same_sex_with_interaction,6,0,18.7944,25.6265,5.072,6.574,5
age_diff_mean_age_temp_with_interaction,6,0,18.683,25.6408,4.9138,6.5589,4
age_diff_mean_age_temp_same_sex_no_interaction,6,0,18.8079,25.6497,5.1059,6.637,4
age_diff_temp,6,0,18.7053,25.6571,4.9333,6.6039,2
mean_age_temp_same_sex,6,0,18.8041,25.6577,5.1091,6.6539,3
age_diff_mean_age_temp_no_interaction,6,0,18.7033,25.6629,4.9405,6.6188,3
age_diff_mean_age_same_sex,6,0,18.8102,25.6715,5.1416,6.6771,3
age_diff_mean_age,6,0,18.714,25.6717,4.9514,6.6332,2
mean_age_same_sex,6,0,18.8038,25.6855,5.1517,6.7054,2
age_diff_temp_same_sex,6,0,18.8345,25.6917,5.1865,6.7214,3
age_diff_only,6,0,18.7069,25.6945,4.961,6.665,1
mean_age_temp,6,0,18.7373,25.6959,4.9701,6.6646,2
age_diff_mean_age_temp_same_sex_with_interaction,5,2,18.9043,25.697,4.6765,6.1856,5
age_diff_mean_age_temp_same_sex_with_interaction,5,1,18.8645,25.7027,4.6363,6.2042,5
age_diff_mean_age_temp_with_interaction,5,2,18.6999,25.7033,4.5673,6.2352,4
age_diff_mean_age_temp_with_interaction,5,1,18.6868,25.7074,4.5561,6.2604,4
mean_age_only,6,0,18.755,25.7144,4.9911,6.6982,1
temp_only,6,0,18.7692,25.7157,4.9943,6.7007,1
no_covariates,6,0,18.7692,25.7157,4.9943,6.7007,0
age_diff_mean_age_temp_same_sex_with_interaction,5,0,18.8246,25.73,4.6495,6.2152,5
same_sex_only,6,0,18.8757,25.7332,5.1335,6.7525,1
age_diff_mean_age_temp_with_interaction,5,0,18.6715,25.7358,4.574,6.2694,4
age_diff_same_sex,5,0,18.8603,25.7372,4.7301,6.2949,2
age_diff_mean_age_temp_same_sex_no_interaction,5,0,18.8432,25.7531,4.6762,6.2713,4
age_diff_same_sex,5,2,18.97,25.7568,4.8408,6.3444,2
age_diff_temp,5,0,18.7322,25.7576,4.5896,6.3209,2
age_diff_mean_age_temp_no_interaction,5,0,18.7154,25.758,4.5954,6.3212,3
temp_same_sex,6,0,18.8439,25.7601,5.2177,6.8369,2
